id,category,text,isActive,createdAt,updatedAt
361,R,I enjoy working with tools and building things with my hands,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
362,R,"I like fixing broken objects like toys, bikes, or electronics",true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
363,R,I would rather work outdoors than sit at a desk all day,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
364,R,"I enjoy playing with LEGO, building blocks, or model kits",true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
365,R,I like learning how machines and mechanical things work,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
366,R,I prefer doing hands-on activities over reading or writing,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
367,R,I enjoy sports and physical activities,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
368,R,"I like working with plants, animals, or nature",true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
369,R,"I would enjoy learning a trade like carpentry, plumbing, or welding",true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
370,R,I find it satisfying to create something I can actually touch and use,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
371,I,"I enjoy solving puzzles, riddles, and brain teasers",true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
372,I,I like to ask questions and understand how things work,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
373,I,I enjoy science experiments and discovering new things,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
374,I,I prefer thinking through problems carefully before taking action,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
375,I,"I like reading about science, technology, or history",true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
376,I,I enjoy doing research and finding answers to difficult questions,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
377,I,I like mathematics and working with numbers,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
378,I,I am curious about why things happen the way they do,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
379,I,I would enjoy working in a laboratory or doing research,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
380,I,I like analyzing information and finding patterns,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
381,A,"I enjoy drawing, painting, or doing other forms of art",true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
382,A,"I like writing stories, poems, or songs",true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
383,A,"I enjoy expressing myself through music, dance, or drama",true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
384,A,I have a good imagination and like creating new ideas,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
385,A,"I enjoy designing things like clothes, rooms, or websites",true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
386,A,I like thinking of creative solutions to problems,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
387,A,"I enjoy watching or reading about art, music, or theater",true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
388,A,I prefer activities where I can be creative and original,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
389,A,I like decorating spaces or making things look beautiful,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
390,A,I feel excited when I have the freedom to create something unique,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
391,S,I enjoy helping others with their problems,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
392,S,I like teaching or explaining things to other people,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
393,S,I enjoy working as part of a team rather than working alone,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
394,S,I care about making other people feel happy and supported,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
395,S,I like volunteering and helping my community,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
396,S,I am good at understanding how other people feel,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
397,S,I enjoy taking care of younger children or people who need help,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
398,S,I like listening to people talk about their feelings and problems,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
399,S,"I would enjoy working in healthcare, counseling, or education",true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
400,S,I feel good when I can make a positive difference in someone's life,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
401,E,I enjoy leading group projects or activities,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
402,E,I like organizing events and bringing people together,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
403,E,I am good at convincing people to see things my way,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
404,E,I enjoy competing and trying to win,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
405,E,I like starting new projects and making things happen,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
406,E,I am comfortable speaking in front of groups of people,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
407,E,I enjoy selling things or promoting ideas,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
408,E,I like making decisions and being in charge,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
409,E,I would enjoy running my own business someday,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
410,E,I am motivated by success and achieving goals,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
411,C,I like keeping my belongings neat and organized,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
412,C,I enjoy following clear rules and procedures,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
413,C,I am good at paying attention to small details,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
414,C,"I like working with numbers, data, or records",true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
415,C,"I enjoy creating lists, schedules, and plans",true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
416,C,I prefer tasks that have clear steps to follow,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
417,C,I am good at sorting and organizing information,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
418,C,I like things to be orderly and predictable,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
419,C,I enjoy checking work carefully to make sure it is correct,true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
420,C,"I would enjoy working with computers, filing systems, or databases",true,"""""2025-11-15T14:09:48.264Z""""","""""2025-11-15T14:09:48.264Z"""""
